obj_1,obj_2,obj_3,odd,reason_for_similarity
Jerusalem,Mecca,Medina,Jerusalem,Mecca and Medina are both holy cities in Saudi Arabia
Puffin,Sparrow,Penguin,Sparrow,Puffin and Penguin are both birds that are excellent swimmers
Michael Faraday,Eli Whitney,Nikola Tesla,Eli Whitney,Tesla and Faraday both made significant contributions to electromagnetism
Poseidon,Athena,Hestia,Poseidon,Athena and Hestia are sisters
Lilac Chaser,Hering Illusion,Zollner Illusion,Lilac Chaser,Zollner and Hering illusions are line illusions.
Oder,Vistula,Zambezi,Zambezi,Oder and Vistula both flow through Poland
Cedar,Redwood,Oak,Oak,Redwood and Cedar are coniferous trees
Hawk,Eagle,Ostrich,Ostrich,Hawk and Eagle are both raptors
Green Anole,Gecko,Chameleon,Gecko,Ability to change color
Pine nut,Hazelnut,Peanut,Peanut,Pine nut and Hazelnut are harvested from trees.
Flugelhorn,Tabla,Cornet,Tabla,Cornet and Flugelhorn are brass instruments
Cypress,Sequoia,Magnolias,Magnolias,Cypress and Sequoia are evergreen
Green Lantern,Spiderman,Flash,Spiderman,Green Lantern and Flash are DC Comics superheroes
Duck,Hawk,Swan,Hawk,Swan and Duck are both waterfowl
Orion (Constellation),Aquila (Constellation),Cygnus (Constellation),Orion (Constellation),Aquila and Cygnus are both part of the Summer Triangle.
Fruit fly,Flea,Mosquito,Flea,Mosquito and Fruit fly both have a single pair of wings.
Magnolia tree,Dogwood tree,Juniper tree,Juniper tree,Magnolia and Dogwood are flowering trees
Emu,Seagull,Ostrich,Seagull,Ostriches and emus are both flightless birds.
Squid,Clam,Octopus,Clam,Octopus and Squid have eight arms.
Albumin,Actin,Myosin,Albumin,Actin and Myosin are both involved in muscle contraction
Hyacinth,Tulip,Dandelion,Dandelion,Hyacinth and Tulip are both bulbous plants
Parrot,Canary,Hawk,Hawk,Canaries and parrots are both known for their singing.
Papaya,Dragonfruit,Kiwi,Papaya,Dragonfruit and Kiwi have black seeds
Sparrow,Egret,Heron,Sparrow,Herons and egrets are both wading birds.
Cilantro,Lady Finger (Okra),Parsley,Lady Finger (Okra),Cilantro and Parsley are leafy herbs
Baguette,Cornbread,Tortilla,Baguette,Cornbread and Tortilla are both made from cornmeal
Corn,Millet,Buckwheat,Corn,Millet and Buckwheat are gluten-free
Mount Tyree,Mount Etna,Mount Vinson,Mount Etna,Mount Vinson and Mount Tyree are in Antarctica
Tin,Lead,Nickel,Nickel,Tin and Lead are used in soldering
Tabasco,Sriracha,Salsa,Salsa,Sriracha and Tabasco are types of hot sauces
Oyster,Shrimp,Scallop,Shrimp,Oyster and Scallop have adductor muscles
Hydrangea,Privet,Boxwood,Hydrangea,Boxwood and Privet are often used as topiary
Black Widow,Hawkeye,Batman,Batman,Black Widow and Hawkeye are members of The Avengers
Anubis,Cerberus,Apollo,Apollo,Anubis and Cerberus are associated with the underworld
Burgundy,Beaujolais,Shiraz,Shiraz,Beaujolais and Burgundy are made from Pinot Noir grapes
Orca,Sperm Whale,Pygmy Whale,Orca,Sperm Whale and Pygmy Whale are both sperm whales
Poison Ivy (Character),Ultron,Loki,Poison Ivy,Loki and Ultron are Marvel villains
Liquidambar,Cedar elm,Sweetgum,Cedar elm,Sweetgum and Liquidambar have star-shaped leaves
King Midas,Orpheus,Narcissus,Orpheus,King Midas and Narcissus have stories about self-obsession
Pretzel,Bagel,Tart,Tart,Both are twisted
Gourami,Betta,Plecostomus,Plecostomus,Betta and Gourami are both labyrinth fish
Tortoise,Box Turtle,Loggerhead Sea Turtle,Loggerhead Sea Turtle,The first two are land turtles
Isis,Thor,Poseidon,Isis,Thor and Poseidon are gods associated with weather phenomena
Pegasus,Chimera,Unicorn,Chimera,Unicorn and Pegasus are horses with a single horn/wings.
Mercury,Mars (Planet),Jupiter,Jupiter,Mercury and Mars have similar rotation period
Superman,Green Lantern,Hulk,Hulk,Superman and Green Lantern are from DC Comics
Chimichurri,Pesto,Alfredo Sauce,Alfredo Sauce,Chimichurri and Pesto are green sauces
Flash,Green Lantern,Quicksilver,Green Lantern,Flash and Quicksilver have super speed
Sycamore,Ash,Hawthorn,Hawthorn,Sycamore and Ash have compound leaves
Spruce,Birch,Cedar,Birch,Cedar and Spruce are coniferous trees
Amaretto,Curaçao,Limoncello,Amaretto,Limoncello and Curaçao are fruit-based liqueurs
Falcon,Bat,Whale,Falcon,Whale and Bat are mammals
Sapphire,Graphite,Diamond,Sapphire,Diamond and Graphite are allotropes of carbon
Rice,Barley,Wheat,Rice,Wheat and Barley are used to make beer
Feldspar,Granite,Quartz,Granite,Quartz and Feldspar are minerals
Toad,Frog,Turtle,Turtle,Frog and Toad are types of amphibians
Pine,Oak,Maple,Pine,Maple and Oak are deciduous trees
Jaguar,Cheetah,Lion,Lion,Cheetah and Jaguar have retractable claws
Garnet,Emerald,Ruby,Emerald,Ruby and Garnet are red gemstones
Ostrich,Penguin,Hawk,Hawk,Penguin and Ostrich are flightless birds
Python,Cobra,Anaconda,Cobra,Python and Anaconda are constrictors
Cotton,Wool,Silk,Cotton,Silk and Wool are animal fibers
Iron,Nickel,Cobalt,Nickel,Iron and Cobalt are ferromagnetic
Crow,Sparrow,Raven,Sparrow,Raven and Crow belong to the same genus
Birch,Spruce,Cedar,Cedar,Birch and Spruce are found in cold climates
Coral,Jellyfish,Shrimp,Shrimp,Coral and Jellyfish have cnidocytes
Hinny,Horse,Mule,Horse,Mule and Hinny are both hybrid equines
Seagull,Pigeon,Albatross,Pigeon,Albatross and Seagull are seabirds
Basalt,Marble,Limestone,Basalt,Marble and Limestone are types of calcareous rocks
Birch,Teak,Mahogany,Birch,Teak and Mahogany are tropical hardwoods
Barracuda,Salmon,Pike,Salmon,Barracuda and Pike are predatory fish
Daisy,Sunflower,Tulip,Tulip,Sunflower and Daisy are in the same family
Oats,Rye,Wheat,Oats,Rye and Wheat are used in bread baking
Deer,Elk,Moose,Deer,Elk and Moose have palmate antlers
Platinum,Silver,Palladium,Silver,Platinum and Palladium are used in catalytic converters
Hummingbird,Hawkmoth,Butterfly,Butterfly,Hummingbird and Hawkmoth are known for hovering
Aspen,Birch,Cedar,Cedar,Birch and Aspen have similar bark and leaves
Goldfish,Angelfish,Guppy,Guppy,Angelfish and Goldfish are often kept in aquariums
Rose,Dandelion,Sunflower,Rose,Dandelion and Sunflower have similar seed dispersal mechanisms
Ape,Monkey,Lemur,Ape,Lemur and Monkey have tails
Crab,Lobster,Shrimp,Shrimp,Lobster and Crab have larger claws
Peacock,Ostrich,Eagle,Eagle,Peacock and Ostrich are flightless
Basil,Lavender,Rosemary,Basil,Lavender and Rosemary are used in aromatherapy
Porcupine,Hedgehog,Beaver,Beaver,Porcupine and Hedgehog have quills
Moth,Butterfly,Bee,Bee,Moth and Butterfly have scales on their wings
Iguana,Snake,Chameleon,Snake,Iguana and Chameleon have eyelids
Basilisk,Salamander,Gecko,Salamander,Basilisk and Gecko can walk on vertical surfaces
Penguin,Seagull,Albatross,Penguin,Albatross and Seagull are adept fliers
Crab,Squid,Octopus,Crab,Squid and Octopus have ink sacs
Ruby,Citrine,Amethyst,Ruby,Amethyst and Citrine are varieties of quartz
Antelope,Buffalo,Bison,Antelope,Bison and Buffalo have similar body shapes
Gorilla,Orangutan,Chimpanzee,Orangutan,Chimpanzee and Gorilla are native to Africa
Mango,Peach,Apple,Apple,"Mango and Peach have a large, single pit"
Scorpion,Ant,Tarantula,Ant,Tarantula and Scorpion have venomous stings
Tiger,Cheetah,Leopard,Tiger,Cheetah and Leopard have similar coat patterns
Oak,Maple,Pine,Pine,Oak and Maple are deciduous trees
Trout,Salmon,Catfish,Catfish,Salmon and Trout are anadromous fish
Rattlesnake,Cobra,Python,Python,Rattlesnake and Cobra have venomous bites
Violin,Guitar,Harp,Violin,Harp and Guitar are stringed instruments played with fingers
Sunflower,Rose,Daisy,Rose,Daisy and Sunflower have composite flower heads
Pine,Oak,Spruce,Oak,Pine and Spruce are conifers
Orchid,Daffodil,Tulip,Orchid,Tulip and Daffodil grow from bulbs
Cheetah,Lion,Tiger,Cheetah,Lion and Tiger are part of the Panthera genus
Potato,Tomato,Carrot,Carrot,Potato and Tomato are nightshades
Frog,Lizard,Toad,Lizard,Frog and Toad are amphibians
Almond,Peanut,Walnut,Walnut,Almond and Peanut are legumes
Rabbit,Squirrel,Hare,Squirrel,Rabbit and Hare have long ears
Gold,Silver,Copper,Gold,Copper and Silver are used in electronics
Pineapple,Rose,Cactus,Rose,Pineapple and Cactus have CAM photosynthesis
Orange,Lime,Lemon,Orange,Lime and Lemon are acidic citrus fruits
Orangutan,Monkey,Gorilla,Monkey,Gorilla and Orangutan are great apes
Blueberry,Strawberry,Raspberry,Blueberry,Strawberry and Raspberry have seeds on the outside
Coyote,Fox,Wolf,Fox,Coyote and Wolf are closer in size
Tiramisu,Mousse,Gelato,Gelato,Tiramisu and mousse are layered desserts
Crocheting,Knitting,Painting,Painting,Both are yarn manipulation techniques
Marjoram,Oregano,Cilantro,Cilantro,Marjoram and Oregano are in the same botanical family.
Owl,Turkey,Peacock,Owl,Peacocks and turkeys have fan-shaped tails.
Jalapeno Sauce,Hot Sauce,Alfredo Sauce,Alfredo Sauce,Hot Sauce and Jalapeno Sauce are spicy
Mangosteen,Passionfruit,Banana,Banana,Mangosteen and Passionfruit have a hard rind
Lettuce,Spinach,Asparagus,Asparagus,Spinach and Lettuce are leaf vegetables
Sapphire,Topaz,Emerald,Topaz,Emerald and Sapphire are precious gemstones
Artemis,Diana,Osiris,Osiris,Artemis and Diana are goddesses of the hunt
Kumquat,Lemon,Grapefruit,Kumquat,Lemon and Grapefruit are sour
Minecraft,The Sims,Call of Duty,Call of Duty,The Sims and Minecraft are both simulation games
Dracula,Gandalf,Merlin,Dracula,Merlin and Gandalf are wizards
Triassic,Permian,Carboniferous,Triassic,Carboniferous and Permian are periods in the Paleozoic Era
Alveoli,Bronchi,Heart,Heart,Bronchi and Alveoli are both involved in the respiratory system.
Orca,Narwhal,False Killer Whale,Narwhal,Orca and False Killer Whale are from the dolphin family
Mars,Earth,Neptune,Neptune,Earth and Mars have similar day length
Dachshund,West Highland White Terrier,Scottish Terrier,Dachshund,Scottish Terrier and West Highland White Terrier are both Scottish breeds
Sugar,Salt,Pepper,Pepper,Sugar and Salt are both white crystals
Dove,Pigeon,Hawk,Hawk,Pigeon and Dove are both birds known for their peaceful symbolism
Plato,Aristotle,Derrida,Derrida,"Plato and Aristotle were both students of Socrates and significant figures in ancient Greek philosophy, while Derrida was a 20th-century French philosopher."
Magni,Hodr,Mimir,Mimir,Hodr and Magni are sons of major gods
Poodle,Bulldog,Bichon Frise,Bulldog,Non-shedding breeds
Idaho,Maryland,Wyoming,Maryland,Idaho and Wyoming are in the West
Singapore,Cairo,Dubai,Cairo,Both are city-states
Tundra,Steppe,Prairie,Tundra,Steppe and Prairie are both grassland biomes
Vulture,Condor,Parakeet,Parakeet,Condor and Vulture are scavengers
Pecorino Romano,Manchego,Mascarpone,Mascarpone,Manchego and Pecorino Romano are sheep milk cheeses
Hamburger,Hot Dog,Fried Chicken,Fried Chicken,Hot Dog and Hamburger are typically served in a bun
Grenache,Pinot Grigio,Syrah,Pinot Grigio,Grenache and Syrah are red wines.
Tibia,Fibula,Femur,Femur,Fibula and Tibia are both bones in the lower leg
Manx,Birman,Cymric,Birman,Cymric and Manx are tailless
Carpals,Tarsals,Metatarsals,Carpals,Metatarsals and Tarsals are both bones in the foot
Aloe Vera,Lily,Cactus,Lily,Aloe Vera and Cactus are both succulents
Cyborg,Nightwing,Ant-Man,Ant-Man,Nightwing and Cyborg are from DC Comics.
Lime,Peach,Kiwi,Peach,Kiwi and Lime have green flesh.
Mars,Dionysus,Apollo,Mars,Dionysus and Apollo are Greek gods
Moth,Dragonfly,Butterfly,Dragonfly,Moth and Butterfly have a cocoon stage
Femur,Patella,Hyoid,Hyoid,Patella and Femur are both bones in the leg
Watermelon,Apricot,Plum,Watermelon,Plum and Apricot have a single seed inside.
Rottweiler,Doberman,Border Collie,Border Collie,The other two are Guard dogs
Koala,Bear,Kangaroo,Bear,Koalas and Kangaroos are marsupials.
Muffin,Palmier,Croissant,Muffin,Palmier and Croissant are made with puff pastry
Superman,Naruto,Batman,Naruto,Batman and Superman are from DC Comics.
Homo Denisova,Homo Sapiens,Homo Erectus,Homo Erectus,Homo Sapiens and Homo Denisova have more similar art creation
Homo Floresiensis,Homo Denisova,Homo Sapiens,Homo Floresiensis,Homo Sapiens and Homo Denisova share more DNA
Ibn Rushd,Ibn Sina,Al-Farabi,Al-Farabi,Ibn Sina and Ibn Rushd were Andalusian philosophers
Sabre,Cutlass,Crossbow,Crossbow,Sabre and Cutlass are both slashing weapons
Yukon River,Thames River,Mackenzie River,Thames River,Yukon and Mackenzie are the two longest rivers in Canada.
Taleggio,Limburger,Boursin,Boursin,Limburger and Taleggio are washed rind cheeses
Turnip,Radish,Potato,Potato,Turnip and Radish are both root vegetables with edible leaves
Mount Hood,Mount Everest,Mount Baldy,Mount Everest,The other two are in the United States
Balinese,Turkish Van,Ocicat,Turkish Van,Balinese and Ocicat have spots
Eggplant,Cucumber,Tomato,Cucumber,Tomato and Eggplant are both nightshades
Fern,Orchid,Magnolia,Fern,Magnolia and Orchid are both flowering plants
Wrench,Screwdriver,Spanner,Screwdriver,Spanner and Wrench are used for turning bolts
Carrot,Broccoli,Asparagus,Carrot,Both are stem vegetables
Broccoli,Cauliflower,Carrot,Carrot,Broccoli and Cauliflower are both florets
Carrot,Onion,Leek,Carrot,Leek and Onion are both from Allium family
Dragonfly,Cricket,Firefly,Dragonfly,Cricket and Firefly are nocturnal
Spider,Mosquito,Fly,Spider,Mosquito and Fly are dipterous (two-winged)
Trifle,Beignets,Churros,Trifle,Churros and Beignets are fried
Homo Denisova,Homo Neanderthalensis,Homo Heidelbergensis,Homo Denisova,Homo Neanderthalensis and Homo Heidelbergensis lived in the same time period
Belle,Mulan,Pocahontas,Belle,Pocahontas and Mulan are based on real people
Island,Reef,Atoll,Island,Atoll and Reef are both coral formations
Shangri-La,Carthage,Troy,Shangri-La,Troy and Carthage were both destroyed in wars.
Sticky Bun,Cinnamon Roll,Danish,Danish,Cinnamon Roll and Sticky Bun have a sticky glaze
Athens,Babylon,Persepolis,Athens,Alexander conquered Persepolis and Babylon
Oder,Vistula,Zambezi,Zambezi,Oder and Vistula both flow through Poland
Homo Sapiens,Homo Erectus,Homo Heidelbergensis,Homo Sapiens,Homo Erectus and Homo Heidelbergensis are direct ancestors of each other
Cabbage,Squash,Pumpkin,Cabbage,Pumpkin and Squash are both winter vegetables
Grass,Tulip,Bamboo,Tulip,Bamboo and Grass are both non-flowering plants
Beetroot,Carrot,Radish,Radish,Beetroot and Carrot are both root vegetables
Laozi,Confucius,Buddha,Buddha,Confucius and Laozi were Chinese philosophers
Oars,Propeller,Rudder,Oars,Propeller and Rudder are attached to the boat
Betta,Boxfish,Pufferfish,Betta,Pufferfish and Boxfish are both toxic
Baguette,Naan,Pita,Baguette,Pita and Naan are flatbreads
Poison Ivy,Poison Sumac,Poison Oak,Poison Sumac,Poison Oak and Poison Ivy both cause skin rashes
Clownfish,Betta,Siamese Fighter,Clownfish,Siamese Fighter and Betta are both labyrinth fishes
Jimson Weed,Poison Ivy,Angel's Trumpet,Poison Ivy,Angel's Trumpet and Jimson Weed both belong to the Nightshade family
Homo Sapiens,Homo Heidelbergensis,Homo Neanderthalensis,Homo Heidelbergensis,Homo Sapiens and Homo Neanderthalensis have more similar language ability
Tasmanian Devil,Southern Hairy-Nosed ,Northern Hairy-Nosed,Tasmanian Devil,The Northern and Southern Hairy-Nosed are both types of Wombats
Ural Mountains,Rocky Mountains,Appalachian,Ural Mountains,Rocky and Appalachian are in North America
Farfalle,Rotini,Cavatelli,Farfalle,Both are twisted pasta
Tortoise,Hare,The Little Engine,Hare,The Little Engine and Tortoise both succeeded by not giving up
Tortellini,Pappardelle,Manicotti,Pappardelle,Both are stuffed pasta
Manchineel Tree,Giant Hogweed,Belladonna,Belladonna,Giant Hogweed and Manchineel Tree both cause skin burns
Grape,Kiwi,Passionfruit,Grape,Passionfruit and Kiwi have black seeds inside.
Bengal,Persian,Himalayan,Bengal,Persian and Himalayan have long hair
Biscotti,Meringue,Macaron,Biscotti,Macaron and Meringue are made with egg whites
Magnolia,Grass,Moss,Magnolia,Moss and Grass are both non-flowering plants
Ravioli,Farfalle,Fettuccine,Fettuccine,Both are bowtie-shaped pasta
Flan,Fudge,Creme Brulee,Fudge,Creme Brulee and Flan are custard-based desserts
Penne,Fusilli,Farfalle,Farfalle,Both are tube pasta
Glacier,Cave,Fjord,Cave,Fjord and Glacier are both formed by ice
Oak,Pine,Rose,Rose,Oak and Pine are types of trees
Rose,Tulip,Fern,Fern,Tulip and Rose are types of flowering plants
Daisy,Sunflower,Bamboo,Bamboo,Daisy and Sunflower are types of Asteraceae
Orchid,Aloe,Cactus,Orchid,Cactus and Aloe are types of succulents
Daffodil,Maple,Marigold,Maple,Marigold and Daffodil are types of flowers
Lily,Willow,Palm,Lily,Palm and Willow are types of trees
Algae,Moss,Daisy,Daisy,Moss and Algae are types of non-vascular plants
Pine,Hyacinth,Bluebell,Pine,Bluebell and Hyacinth are types of bulb plants
Fern,Moss,Tulip,Tulip,Fern and Moss are types of spore-bearing plants
Rose,Pine,Bamboo,Rose,Bamboo and Pine are types of woody plants
Orchid,Lily,Cactus,Cactus,Orchid and Lily are types of monocots
Oak,Sunflower,Marigold,Oak,Sunflower and Marigold are types of sun-loving plants
Aloe,Maple,Oak,Aloe,Maple and Oak are types of deciduous trees
